Index,Name,ActionCategory,ClassJob,BehaviourType,ClassJobLevel,IsRoleAction,Range,PrimaryCost{Type},PrimaryCost{Value},SecondaryCost{Type},SecondaryCost{Value},Action{Combo},PreservesCombo,Cast<100ms>,Recast<100ms>,CooldownGroup,AdditionalCooldownGroup,MaxCharges,AttackType,Aspect,ActionProcStatus,Status{GainSelf},ClassJobCategory,,AffectsPosition,Omen,IsPlayerAction
2170,Leafstorm,3,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,30,0,0,0,0,1,7,0,0,0,FALSE,FALSE,0,FALSE
2171,Ballistic Missile,0,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,40,0,0,0,0,5,7,0,0,0,FALSE,FALSE,46,FALSE
2172,Ballistic Missile,0,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,40,0,0,0,0,5,7,0,0,0,FALSE,FALSE,46,FALSE
2173,Ballistic Missile,0,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,40,0,0,0,0,5,7,0,0,0,FALSE,FALSE,46,FALSE
2174,透明：メテオ核予兆/大：バハムートダンジョン2/Trash,0,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,60,0,0,0,0,5,7,0,0,0,FALSE,FALSE,1,FALSE
2175,Fire II,2,-1,0,0,FALSE,30,0,0,0,0,0,FALSE,25,150,0,0,0,5,1,0,0,0,TRUE,FALSE,1,FALSE
2176,Thunder III,2,-1,0,0,FALSE,25,0,0,0,0,0,FALSE,25,200,0,0,0,5,5,0,0,0,TRUE,FALSE,0,FALSE
2177,Oversurge,3,-1,0,0,FALSE,3,0,0,0,0,0,FALSE,50,60,0,0,0,5,5,0,0,0,FALSE,FALSE,1,FALSE
2178,Fire Dust,2,-1,0,0,FALSE,25,0,0,0,0,0,FALSE,10,30,0,0,0,5,1,0,0,0,TRUE,FALSE,0,FALSE
2179,Pebble,2,-1,0,0,FALSE,25,0,0,0,0,0,FALSE,10,30,0,0,0,5,4,0,0,0,TRUE,FALSE,0,FALSE
2180,Briary Growth,0,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2181,Goblin Rush,3,-1,0,0,FALSE,6,0,0,0,0,0,FALSE,0,80,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2182,Bomb Toss,3,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,35,200,0,0,0,5,1,0,0,0,FALSE,FALSE,1,FALSE
2183,Savage Swipe,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,25,120,0,0,0,3,7,0,0,0,FALSE,FALSE,5,FALSE
2184,Aqua Burst,4,-1,0,0,FALSE,0,2,0,0,0,0,FALSE,0,0,0,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
2185,Delta Mog Attack,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,15,0,0,0,0,0,0,0,0,0,FALSE,FALSE,48,FALSE
2186,Spinning Dive,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2187,Spinning Dive,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2188,Overpower,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,60,0,0,0,1,7,0,0,0,FALSE,FALSE,0,FALSE
2189,Glider Ram,3,-1,1,0,FALSE,100,0,0,0,0,0,FALSE,0,120,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2190,Sniper Shot,3,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,0,0,0,0,0,2,7,0,0,0,FALSE,FALSE,0,FALSE
2191,Thal's Fury,2,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,100,0,0,0,0,5,1,0,0,0,FALSE,FALSE,1,FALSE
2192,attack,4,-1,0,0,FALSE,50,0,0,0,0,0,FALSE,0,0,0,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
2193,Aqua Breath,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
2194,Tail Whip,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2195,Scale Darts,4,-1,0,0,FALSE,50,0,0,0,0,0,FALSE,0,0,0,0,0,1,7,0,0,0,FALSE,FALSE,0,FALSE
2196,Waterspout,3,-1,0,0,FALSE,50,0,0,0,0,0,FALSE,0,0,0,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
2197,Body Slam,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2198,Spinning Dive,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2199,Tidal Roar,3,-1,0,0,FALSE,50,0,0,0,0,0,FALSE,0,0,0,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
2200,Splash,4,-1,0,0,FALSE,0,2,0,0,0,0,FALSE,0,0,0,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
2201,Tidal Wave,4,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
2202,Grand Fall,3,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,30,0,0,0,0,5,6,0,0,0,FALSE,FALSE,44,FALSE
2203,Dread Tide,3,-1,0,0,FALSE,50,0,0,0,0,0,FALSE,0,0,0,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
2204,Ripe Banana,4,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2205,Browbeat,4,-1,0,0,FALSE,6,0,0,0,0,0,FALSE,0,200,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2206,Stool Pelt,4,-1,0,0,FALSE,50,0,0,0,0,0,FALSE,25,150,0,0,0,3,7,0,0,0,FALSE,FALSE,1,FALSE
2207,Chest Thump,4,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,50,0,0,0,5,7,0,0,0,FALSE,FALSE,0,FALSE
2208,Streak,4,-1,1,0,FALSE,100,0,0,0,0,0,FALSE,0,80,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2209,Wallop,4,-1,0,0,FALSE,26,0,0,0,0,0,FALSE,0,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2210,Clearout,4,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,40,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2211,Stool Pelt,4,-1,0,0,FALSE,50,0,0,0,0,0,FALSE,0,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2212,Ink Blot,4,-1,0,0,FALSE,125,0,0,0,0,0,FALSE,30,0,0,0,0,5,7,0,0,0,FALSE,FALSE,1,FALSE
2213,Ink Blot,4,-1,0,0,FALSE,125,0,0,0,0,0,FALSE,0,0,0,0,0,5,7,0,0,0,FALSE,FALSE,1,FALSE
2214,Ruin,2,-1,0,0,FALSE,25,0,0,0,0,0,FALSE,10,30,0,0,0,5,7,0,0,0,TRUE,FALSE,0,FALSE
2215,Seize,4,-1,0,0,FALSE,40,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2216,Hurl,4,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2217,Water Cannon,4,-1,0,0,FALSE,50,0,0,0,0,0,FALSE,0,0,0,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
2218,Clearout,4,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,40,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2219,Wallop,4,-1,0,0,FALSE,26,0,0,0,0,0,FALSE,0,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2220,World's End,4,-1,0,0,FALSE,0,2,0,0,0,0,FALSE,0,0,0,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
2221,Blazing Trail,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,5,1,0,0,0,FALSE,FALSE,0,FALSE
2222,Deadly Drive,3,-1,0,0,FALSE,25,0,0,0,0,0,FALSE,30,200,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2223,Iceball,3,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,0,0,0,0,0,5,2,0,0,0,FALSE,FALSE,0,FALSE
2224,Dragon's Blood,2,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,80,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2225,Strident Scream,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,40,200,0,0,0,5,7,0,0,0,FALSE,FALSE,0,FALSE
2226,透明：ギミック汎用：引き寄せ,4,-1,0,0,FALSE,50,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2227,Jaws of Death,4,-1,0,0,FALSE,50,0,0,0,0,0,FALSE,0,0,0,0,0,1,7,0,0,0,FALSE,FALSE,0,FALSE
2228,Upwell,4,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,20,250,0,0,0,5,6,0,0,0,FALSE,FALSE,2,FALSE
2229,Spittle,4,-1,0,0,FALSE,50,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2230,Spittle Splatter,4,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,30,0,0,0,0,5,6,0,0,0,FALSE,FALSE,1,FALSE
2231,Riptide,4,-1,0,0,FALSE,50,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2232,Watery Grave,4,-1,0,0,FALSE,1,0,0,0,0,0,FALSE,0,0,0,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
2233,Watery Grave,4,-1,0,0,FALSE,0,2,0,0,0,0,FALSE,0,0,0,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
2234,Waterwhirl,4,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,0,0,0,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
2235,Surface Breach,4,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,5,7,0,0,0,FALSE,FALSE,0,FALSE
2236,Whirlpool,4,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,20,0,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
2237,Iron Kiss,17,0,0,0,FALSE,40,0,0,26,0,0,FALSE,10,25,58,0,0,3,7,0,0,1,FALSE,FALSE,0,FALSE
2238,Spindly Finger,17,0,0,0,FALSE,40,0,0,26,0,0,FALSE,10,300,75,0,0,5,7,0,0,1,FALSE,FALSE,0,FALSE
2239,Ripe Banana,4,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2240,Spinning Edge,3,29,0,1,FALSE,-1,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,93,FALSE,FALSE,0,TRUE
2241,Shade Shift,4,29,0,2,FALSE,0,0,0,0,0,0,TRUE,0,1200,21,0,0,0,0,0,0,93,FALSE,FALSE,0,TRUE
2242,Gust Slash,3,29,0,4,FALSE,-1,0,0,0,0,2240,FALSE,0,25,58,0,0,-1,7,0,0,93,FALSE,FALSE,0,TRUE
2243,Kiss of the Wasp,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,50,0,0,0,0,0,0,489,0,FALSE,FALSE,0,FALSE
2244,Mutilate,3,-1,0,0,FALSE,-1,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
2245,Hide,4,29,0,10,FALSE,0,0,0,38,0,0,TRUE,0,200,3,0,0,0,0,0,614,93,FALSE,FALSE,0,TRUE
2246,Assassinate,4,30,0,40,FALSE,-1,0,0,63,515,0,TRUE,0,600,10,0,0,-1,7,0,0,92,FALSE,FALSE,0,TRUE
2247,Throwing Dagger,3,29,0,15,FALSE,20,0,0,0,0,0,TRUE,0,25,58,0,0,-1,7,0,0,93,FALSE,FALSE,0,TRUE
2248,Mug,4,29,0,15,FALSE,-1,0,0,63,585,0,TRUE,0,1200,22,0,0,-1,7,0,0,93,FALSE,FALSE,0,TRUE
2249,Goad,4,-1,0,0,FALSE,30,0,0,0,0,0,TRUE,0,1800,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2250,Sneak Attack,4,-1,0,0,FALSE,-1,0,0,35,507,0,TRUE,0,600,0,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
2251,Dancing Edge,3,-1,0,0,FALSE,-1,0,0,0,0,2242,FALSE,0,25,58,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
2252,Kiss of the Viper,4,-1,0,0,FALSE,0,0,0,0,0,0,TRUE,0,50,0,0,0,0,0,0,490,0,FALSE,FALSE,0,FALSE
2253,Hide,4,-1,0,0,FALSE,0,0,0,38,0,0,TRUE,0,200,6,0,0,0,0,0,615,0,FALSE,FALSE,0,FALSE
2254,Death Blossom,3,29,0,38,FALSE,0,0,0,0,0,0,FALSE,0,25,58,0,0,-1,7,0,0,93,FALSE,FALSE,0,TRUE
2255,Aeolian Edge,3,29,0,26,FALSE,-1,0,0,0,0,2242,FALSE,0,25,58,0,0,-1,7,0,0,93,FALSE,FALSE,0,TRUE
2256,Jugulate,4,-1,0,0,FALSE,-1,0,0,0,0,0,TRUE,0,300,3,0,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
2257,Shadow Fang,3,-1,0,30,FALSE,-1,0,0,0,0,0,TRUE,0,700,10,58,0,-1,7,0,0,0,FALSE,FALSE,0,FALSE
2258,Trick Attack,4,29,0,18,FALSE,-1,101,586,35,3848,0,TRUE,0,600,9,0,0,-1,7,163,0,93,FALSE,FALSE,0,TRUE
2259,Ten,4,30,0,30,FALSE,0,0,0,0,0,0,TRUE,0,200,4,58,2,0,0,0,0,92,FALSE,FALSE,0,TRUE
2260,Ninjutsu,4,30,0,30,FALSE,0,10,496,32,496,0,TRUE,0,15,58,0,0,0,0,0,0,92,FALSE,FALSE,0,TRUE
2261,Chi,4,30,0,35,FALSE,0,0,0,0,0,0,TRUE,0,200,4,58,2,0,0,0,0,92,FALSE,FALSE,0,TRUE
2262,Shukuchi,4,30,1,40,FALSE,20,0,0,0,0,0,TRUE,0,600,16,71,1,0,0,0,0,92,FALSE,TRUE,0,TRUE
2263,Jin,4,30,0,45,FALSE,0,0,0,0,0,0,TRUE,0,200,4,58,2,0,0,0,0,92,FALSE,FALSE,0,TRUE
2264,Kassatsu,4,30,0,50,FALSE,0,0,0,0,0,0,TRUE,0,600,11,0,0,0,0,0,0,92,FALSE,FALSE,0,TRUE
2265,Fuma Shuriken,4,0,0,30,FALSE,25,10,496,0,0,0,TRUE,0,15,58,0,0,-1,7,0,0,92,FALSE,FALSE,0,FALSE
2266,Katon,4,0,0,35,FALSE,20,10,496,0,0,0,TRUE,0,15,58,0,0,5,1,0,0,92,FALSE,FALSE,0,FALSE
2267,Raiton,4,0,0,35,FALSE,20,10,496,0,0,0,TRUE,0,15,58,0,0,5,5,0,0,92,FALSE,FALSE,0,FALSE
2268,Hyoton,4,0,0,45,FALSE,25,10,496,0,0,0,TRUE,0,15,58,0,0,5,2,0,0,92,FALSE,FALSE,0,FALSE
2269,Huton,4,0,0,45,FALSE,20,10,496,0,0,0,TRUE,0,15,58,0,0,5,3,0,0,92,FALSE,FALSE,0,FALSE
2270,Doton,4,0,0,45,FALSE,0,10,496,33,0,0,TRUE,0,15,58,0,0,5,4,0,0,92,FALSE,FALSE,0,FALSE
2271,Suiton,4,0,0,45,FALSE,20,10,496,0,0,0,TRUE,0,15,58,0,0,5,6,0,0,92,FALSE,FALSE,0,FALSE
2272,Rabbit Medium,4,0,0,30,FALSE,0,10,496,0,0,0,TRUE,0,15,58,0,0,0,0,0,0,92,FALSE,FALSE,0,FALSE
2273,Rending Snath,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,25,60,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2274,Shock Strike,2,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,0,0,0,0,0,5,5,0,0,0,FALSE,FALSE,0,FALSE
2275,Thunderspark,2,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,30,0,0,0,0,5,5,0,0,0,FALSE,FALSE,1,FALSE
2276,Thunderstorm,2,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,40,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2277,Thunderstorm,2,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,40,0,0,0,0,5,5,0,0,0,FALSE,FALSE,50,FALSE
2278,Thunderstorm,2,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,40,0,0,0,0,5,5,0,0,0,FALSE,FALSE,0,FALSE
2279,Judgment Bolt,2,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,30,0,0,0,0,5,5,0,0,0,FALSE,FALSE,0,FALSE
2280,Chaotic Strike,2,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,30,0,0,0,0,5,5,0,0,0,FALSE,FALSE,0,FALSE
2281,Rolling Thunder,2,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,20,0,0,0,0,5,7,0,0,0,FALSE,FALSE,0,FALSE
2282,Thunderbolt,2,-1,0,0,FALSE,48,0,0,0,0,0,FALSE,30,0,0,0,0,5,7,0,0,0,FALSE,FALSE,55,FALSE
2283,Increased Sentence,2,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,30,0,0,0,0,5,5,0,0,0,FALSE,FALSE,0,FALSE
2284,Shock Strike,2,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,0,0,0,0,0,5,5,0,0,0,FALSE,FALSE,0,FALSE
2285,Thunderspark,2,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,30,0,0,0,0,5,5,0,0,0,FALSE,FALSE,1,FALSE
2286,Thunderstorm,2,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,40,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2287,Thunderstorm,2,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,40,0,0,0,0,5,5,0,0,0,FALSE,FALSE,50,FALSE
2288,Thunderstorm,2,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,40,0,0,0,0,5,5,0,0,0,FALSE,FALSE,0,FALSE
2289,Judgment Bolt,2,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,30,0,0,0,0,5,5,0,0,0,FALSE,FALSE,0,FALSE
2290,Chaotic Strike,2,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,30,0,0,0,0,5,5,0,0,0,FALSE,FALSE,0,FALSE
2291,Rolling Thunder,2,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,20,0,0,0,0,5,7,0,0,0,FALSE,FALSE,0,FALSE
2292,Thunderbolt,2,-1,0,0,FALSE,24,0,0,0,0,0,FALSE,30,0,0,0,0,5,7,0,0,0,FALSE,FALSE,54,FALSE
2293,Rake,3,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,30,0,0,0,0,1,7,0,0,0,FALSE,FALSE,0,FALSE
2294,the Lion's Breath,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,30,0,0,0,0,6,1,0,0,0,FALSE,FALSE,0,FALSE
2295,Swinge,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,30,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2296,Agony,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,30,0,0,0,0,0,0,0,0,0,FALSE,FALSE,3,FALSE
2297,Agony,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,30,0,0,0,0,0,0,0,0,0,FALSE,FALSE,1,FALSE
2298,Nip,3,-1,0,0,FALSE,3,0,0,0,0,0,FALSE,0,150,0,0,0,1,7,0,0,0,FALSE,FALSE,0,FALSE
2299,Hard Stomp,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,50,0,0,0,0,3,7,0,0,0,FALSE,FALSE,1,FALSE
2300,Diamondback,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,25,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2301,アダマン：亀ドラゴン：回転ジェット準備：ストーンヴィジルハード,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2302,Whipstream,3,-1,0,0,FALSE,80,0,0,0,0,0,FALSE,0,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2303,アダマン：亀ドラゴン：回転ジェット終了：ストーンヴィジルハード,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2304,Cannonball Ricochet,3,-1,0,0,FALSE,80,0,0,0,0,0,FALSE,0,0,0,0,0,5,7,0,0,0,FALSE,FALSE,0,FALSE
2305,Electric Velitation,3,-1,0,0,FALSE,25,0,0,0,0,0,FALSE,30,200,0,0,0,5,5,0,0,0,FALSE,FALSE,1,FALSE
2306,Tail Chase,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,25,200,0,0,0,3,7,0,0,0,FALSE,FALSE,1,FALSE
2307,Iron Kiss,3,-1,0,0,FALSE,80,0,0,0,0,0,FALSE,0,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2308,Spindly Finger,3,-1,0,0,FALSE,80,0,0,0,0,0,FALSE,0,0,0,0,0,5,7,0,0,0,FALSE,FALSE,0,FALSE
2309,Cannonball Ricochet,3,-1,0,0,FALSE,80,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2310,Ripper Claw,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,22,0,0,0,0,1,7,0,0,0,FALSE,FALSE,0,FALSE
2311,Fireball,3,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,35,0,0,0,0,5,1,0,0,0,FALSE,FALSE,0,FALSE
2312,Heat Breath,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,5,1,0,0,0,FALSE,FALSE,0,FALSE
2313,Tail Smash,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,30,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2314,Wild Charge,3,-1,1,0,FALSE,100,0,0,0,0,0,FALSE,35,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2315,Bloodboil,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,30,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2316,Bone Shaker,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2317,Ancient Flare,2,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,100,0,0,0,0,5,1,0,0,0,FALSE,FALSE,0,FALSE
2318,Ink,4,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,0,0,0,0,0,5,7,0,0,0,FALSE,FALSE,0,FALSE
2319,Unholy,2,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,0,0,0,0,0,5,7,0,0,0,FALSE,FALSE,0,FALSE
2320,Iron Justice,3,-1,0,0,FALSE,8,0,0,0,0,0,FALSE,0,0,0,0,0,1,7,0,0,0,FALSE,FALSE,5,FALSE
2321,Topple,2,-1,0,0,FALSE,6,0,0,0,0,0,FALSE,30,0,0,0,0,3,7,0,0,0,FALSE,FALSE,1,FALSE
2322,Smolder,4,-1,0,0,FALSE,3,2,0,0,0,0,FALSE,0,0,0,0,0,5,1,0,0,0,FALSE,FALSE,0,FALSE
2323,Shiver,4,-1,0,0,FALSE,3,2,0,0,0,0,FALSE,0,0,0,0,0,5,2,0,0,0,FALSE,FALSE,0,FALSE
2324,Shudder,4,-1,0,0,FALSE,0,2,0,0,0,0,FALSE,0,0,0,0,0,5,5,0,0,0,FALSE,FALSE,0,FALSE
2325,Iron Justice,3,-1,0,0,FALSE,8,0,0,0,0,0,FALSE,0,0,0,0,0,1,7,0,0,0,FALSE,FALSE,5,FALSE
2326,Daybreak,4,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,150,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2327,Daybreak,4,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2328,Daybreak,4,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2329,Firewalker,4,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2330,Searing Chain,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,30,0,0,0,0,5,7,0,0,0,FALSE,FALSE,2,FALSE
2331,Infinite Anguish,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,30,0,0,0,0,5,7,0,0,0,FALSE,FALSE,51,FALSE
2332,King's Will,4,-1,0,0,FALSE,3,0,0,0,0,0,FALSE,25,150,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
2333,Douse,2,-1,0,0,FALSE,30,0,0,0,0,0,FALSE,30,120,0,0,0,5,6,0,0,0,FALSE,FALSE,1,FALSE
2334,Drench,2,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,80,0,0,0,5,6,0,0,0,FALSE,FALSE,0,FALSE
2335,Scale Ripple,4,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,30,120,0,0,0,3,7,0,0,0,FALSE,FALSE,1,FALSE
2336,Falling Sky,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,3,7,0,0,0,FALSE,FALSE,0,FALSE
2337,Quake,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,5,4,0,0,0,FALSE,FALSE,0,FALSE
2338,Dragon Breath,3,-1,0,0,FALSE,30,0,0,0,0,0,FALSE,0,300,0,0,0,6,7,0,0,0,FALSE,FALSE,0,FALSE
2339,Drain,2,-1,0,0,FALSE,25,0,0,0,0,0,FALSE,40,200,0,0,0,6,7,0,0,0,TRUE,FALSE,0,FALSE
2340,Breakga,2,-1,0,0,FALSE,30,0,0,0,0,0,FALSE,40,300,0,0,0,5,7,0,0,0,TRUE,FALSE,0,FALSE
2341,Roast,3,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,6,1,0,0,0,FALSE,FALSE,0,FALSE
2342,Cauterize,0,-1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,5,1,0,0,0,FALSE,FALSE,0,FALSE
2343,Fireball,0,-1,0,0,FALSE,60,0,0,0,0,0,FALSE,0,0,0,0,0,5,1,0,0,0,FALSE,FALSE,0,FALSE
2344,Hunter's Moon,3,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,0,0,0,0,0,1,7,0,0,0,FALSE,FALSE,0,FALSE
2345,Hunter's Moon,4,-1,0,0,FALSE,100,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,FALSE
